Year,Inflation_%,GDP_Growth_%,NIFTY_Return_%,NIFTY_Volatility_%,USD_INR,Company,Stock,NC_Bn,CCG_%,TCV_Bn,AR_Bn,Bank,ROE,NIM,NPA,CASA,CAR,Revenue_Growth,NII_Growth,PE_Ratio,Inflation_Rate,GDP_Growth,NIFTY_Return,NIFTY_Volatility,Revenue_Growth_%,EBITDA_Margin_%,Debt_Equity_Ratio,ROCE_%
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2026,5.649143189,9.19075493,186.9444095,18.22216984,93.10250092,Coforge,COFORGE.NS,7.889,33.76438855,47.615,25.771,,,,,,,,,,,,,,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2026,5.649143189,9.19075493,186.9444095,18.22216984,93.10250092,Infosys,INFY.NS,2.861,3.851955608,11.359,3.645,,,,,,,,,,,,,,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2026,5.649143189,9.19075493,186.9444095,18.22216984,93.10250092,Tech Mahindra,TECHM.NS,43.185,1.909200009,236.792,65.486,,,,,,,,,,,,,,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2026,5.649143189,9.19075493,186.9444095,18.22216984,93.10250092,Wipro,WIPRO.NS,58.02,-0.7485491916,777.775,117.745,,,,,,,,,,,,,,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,4.948216341,8.256305502,5.06,15.09,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.328173375,6.795383419,28.75,9.05,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.938826467,6.453851345,4.03,12.88,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,3.729505735,3.871436941,12.75,13.95,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,6.623436776,-5.777724707,14.77,31.39,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,,AXISBANK.NS,,,,,Axis Bank,6.94,2.94,1,44.84,19.12,6.513771408,-9.433962264,27.72590383,5.131407472,9.689592492,23.79,15.68,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,,AXISBANK.NS,,,,,Axis Bank,11.93,2.83,0.73,44.96,18.54,6.513771408,-9.433962264,17.20858234,6.699034141,7.609364978,2.72,17.29,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,,AXISBANK.NS,,,,,Axis Bank,8.33,3.27,0.39,47.12,17.64,23.2720763,-3.472222222,24.2771153,5.649143189,9.19075493,19.42,9.83,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,,AXISBANK.NS,,,,,Axis Bank,16.8,3.38,0.31,42.96,16.63,29.98887002,19.42446043,12.68524242,4.95303551,6.494765524,8.75,14.09,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,,AXISBANK.NS,,,,,Axis Bank,14.98,3.4,0.33,40.75,17.07,12.99194373,3.614457831,11.78603923,4.95303551,6.494765524,10.05,11.83,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,4.948216341,8.256305502,5.06,15.09,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,3.328173375,6.795383419,28.75,9.05,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,3.938826467,6.453851345,4.03,12.88,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,3.729505735,3.871436941,12.75,13.95,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,6.623436776,-5.777724707,14.77,31.39,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,,FEDERALBNK.NS,,,,,Federal Bank,10.08,2.86,1,34.05,14.62,1.41667189,-2.105263158,9.283882141,5.131407472,9.689592492,23.79,15.68,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,,FEDERALBNK.NS,,,,,Federal Bank,10.23,2.83,1,37.12,15.77,1.41667189,-2.105263158,10.72823503,6.699034141,7.609364978,2.72,17.29,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,,FEDERALBNK.NS,,,,,Federal Bank,14.3,2.92,0.69,32.73,14.81,22.69691913,-3.225806452,8.306980387,5.649143189,9.19075493,19.42,9.83,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,,FEDERALBNK.NS,,,,,Federal Bank,12.89,2.85,0.6,29.53,16.13,32.26954155,12.22222222,9.055795109,4.95303551,6.494765524,8.75,14.09,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,,FEDERALBNK.NS,,,,,Federal Bank,12.04,2.9,0.44,30.41,16.4,19.59640728,6.930693069,11.10688153,4.95303551,6.494765524,10.05,11.83,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,4.948216341,8.256305502,5.06,15.09,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,3.328173375,6.795383419,28.75,9.05,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,3.938826467,6.453851345,4.03,12.88,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,3.729505735,3.871436941,12.75,13.95,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,6.623436776,-5.777724707,14.77,31.39,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,,HDFCBANK.NS,,,,,HDFC Bank,15.17,3.85,0,46.07,18.79,7.576168037,-1.324503311,11.60902563,5.131407472,9.689592492,23.79,15.68,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,,HDFCBANK.NS,,,,,HDFC Bank,15.38,3.64,0,48.13,18.9,7.576168037,-1.324503311,10.59447614,6.699034141,7.609364978,2.72,17.29,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,,HDFCBANK.NS,,,,,HDFC Bank,15.89,3.67,0.27,44.37,19.26,22.04634116,-10.06711409,9.777974199,5.649143189,9.19075493,19.42,9.83,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,,HDFCBANK.NS,,,,,HDFC Bank,14.03,3.21,0.33,38.13,18.8,99.34653076,129.8507463,8.373969184,4.95303551,6.494765524,8.75,14.09,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,,HDFCBANK.NS,,,,,HDFC Bank,13.56,3.47,0.43,34.74,19.55,15.42205063,-0.6493506494,9.46446029,4.95303551,6.494765524,10.05,11.83,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,4.948216341,8.256305502,5.06,15.09,,,,
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,3.328173375,6.795383419,28.75,9.05,,,,
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,3.938826467,6.453851345,4.03,12.88,,,,
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,3.729505735,3.871436941,12.75,13.95,,,,
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,6.623436776,-5.777724707,14.77,31.39,,,,
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,,SBIN.NS,,,,,SBI,8.89,2.51,2,45.4,13.74,5.614604886,-1.357466063,13.02875977,5.131407472,9.689592492,23.79,15.68,,,,
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,,SBIN.NS,,,,,SBI,12.53,2.49,1.02,44.51,13.85,5.614604886,-1.357466063,12.01526642,6.699034141,7.609364978,2.72,17.29,,,,
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,,SBIN.NS,,,,,SBI,16.8,2.7,0.67,42.66,14.68,16.31681593,-5.963302752,8.048948719,5.649143189,9.19075493,19.42,9.83,,,,
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,,SBIN.NS,,,,,SBI,17.31,2.66,0.57,39.92,14.28,25.60252571,12.19512195,9.824018555,4.95303551,6.494765524,8.75,14.09,,,,
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,,SBIN.NS,,,,,SBI,16.87,2.59,0.47,38.76,14.25,11.56598101,2.173913043,8.363107265,4.95303551,6.494765524,10.05,11.83,,,,
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,GAIL,,,,,,,,,,,,,,10.73,,,,,-4.5,8.65,25.37,15.14
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,ONGC,,,,,,,,,,,,,,9.45,,,,,0.8,14.86,43.8,10.85
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,RELIANCE,,,,,,,,,,,,,,21.81,,,,,10.4,16.44,35.65,8.56
2016,4.948216341,8.256305502,5.063340006,15.09251735,93.17500305,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2017,4.443521404,7.355078423,35.15973534,9.045418548,93.16000366,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2018,3.938826467,6.453851345,39.4189683,12.90725341,93.16500092,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2019,3.729505735,7.001232062,56.17997639,13.95912686,93.15750122,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2020,6.623436776,7.548612779,79.45336915,31.45545096,93.13999939,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2021,6.298672247,8.095993496,122.7362727,15.69620802,93.13249969,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2022,5.973907718,8.643374213,132.3784379,17.29203885,93.11750031,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2023,5.649143189,9.19075493,178.918806,9.82560206,93.12000275,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2024,5.649143189,9.19075493,203.4769727,14.12168358,93.07499695,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6
2025,5.649143189,9.19075493,235.3689405,11.83212225,93.09750366,TATAPOWER,,,,,,,,,,,,,,31.61,,,,,-9.4,20.63,156.16,9.6